states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
Ohio,Parma,"80,963",69.2,5.49954128440367,4.9,17.3,46.9,557.0,58.1,491.6,7.4
Washington,Pasco,"63,806",304.0,1.6,20.4,64.3,217.8,777.3285714285714,656.7,798.0586206896552,263.3
New Jersey,Passaic,"70,237",730.4,8.5,2.8,330.3,388.7,777.3285714285714,625.0,798.0586206896552,223.5
Rhode Island,Pawtucket,"71,085",405.1,5.6,49.2,113.9,236.3,777.3285714285714,955.2,798.0586206896552,530.4
Texas,Pearland,"94,702",129.9,1.1,19.0,29.6,80.3,777.3285714285714,292.5,798.0586206896552,87.6
California,Perris,"70,616",339.9,4.2,8.5,133.1,194.0,777.3285714285714,691.1,798.0586206896552,672.7
Texas,Pharr,"73,599",366.9,5.49954128440367,19.0,59.8,288.0,777.3285714285714,750.0,798.0586206896552,195.7
California,Pico Rivera,"63,988",407.9,1.6,9.4,143.8,253.2,777.3285714285714,545.4,798.0586206896552,575.1
California,Pittsburg,"64,890",234.2,4.6,9.2,127.9,92.5,777.3285714285714,521.5048780487805,798.0586206896552,835.3
Florida,Plantation,"87,705",317.0,4.6,12.5,144.8,155.1,777.3285714285714,800.4,798.0586206896552,215.5
California,Pleasanton,"71,875",68.2,1.4,5.6,25.0,36.2,777.3285714285714,229.6,798.0586206896552,165.6
Minnesota,Plymouth,"72,020",342.0057553956834,5.49954128440367,28.092157534246574,19.4,26.4,777.3285714285714,358.2,798.0586206896552,43.0
Maine,Portland,"66,413",260.5,1.5,49.7,123.5,85.8,777.3285714285714,618.9,798.0586206896552,123.5
Virginia,Portsmouth,"96,739",476.5,11.4,42.4,188.1,234.7,777.3285714285714,521.5048780487805,798.0586206896552,218.1
Massachusetts,Quincy,"93,736",427.8,5.49954128440367,33.1,89.6,305.1,777.3285714285714,528.1,798.0586206896552,123.8
Wisconsin,Racine,"79,055",473.1,5.1,39.2,266.9,161.9,777.3285714285714,521.5048780487805,798.0586206896552,164.4
New York,Ramapo Town,"85,448",93.6,5.49954128440367,5.9,15.2,72.6,837.9,160.3,658.9,18.7
California,Rancho Cordova,"66,214",593.5,13.6,42.3,169.1,368.5,777.3285714285714,635.8,798.0586206896552,486.3
